Date,CornPrice,SoyPrice,ratio
5/29/18,400,"1,033.25",2.58
5/28/18,408.75,"1,045.75",2.56
5/25/18,406,"1,042.00",2.57
5/24/18,404.25,"1,035.75",2.56
5/23/18,408.5,"1,039.25",2.54
5/22/18,404.75,"1,030.25",2.55
5/21/18,402.75,"1,022.75",2.54
5/20/18,401.75,998,2.48
5/18/18,402.5,998,2.48
5/17/18,395.25,997.25,2.52
5/16/18,399.25,"1,000.75",2.51
5/15/18,402.25,"1,018.00",2.53
5/14/18,389,"1,017.25",2.62
5/11/18,389.75,"1,002.00",2.57
5/10/18,394.75,"1,021.25",2.59
5/9/18,394.75,"1,018.00",2.58
5/8/18,395.5,"1,020.25",2.58
5/7/18,393.25,"1,013.50",2.58
5/6/18,405,"1,035.00",2.56
5/4/18,398.75,"1,036.50",2.6
5/3/18,399.5,"1,049.75",2.63
5/2/18,396,"1,042.50",2.63
5/1/18,396.75,"1,054.75",2.66
4/30/18,392.5,"1,049.00",2.67
4/27/18,389.5,"1,045.50",2.68
4/26/18,386,"1,028.00",2.66
4/25/18,386.5,"1,028.25",2.66
4/24/18,381.25,"1,022.75",2.68
4/23/18,378.5,"1,020.75",2.7
4/22/18,376.75,"1,029.50",2.73
4/20/18,376.5,"1,029.50",2.73
4/19/18,382,"1,036.75",2.71
4/18/18,383,"1,041.75",2.72
4/17/18,380.25,"1,046.00",2.75
4/16/18,382.5,"1,042.75",2.73
4/13/18,386.25,"1,052.25",2.72
4/12/18,388.75,"1,060.50",2.73
4/11/18,387,"1,047.75",2.71
4/10/18,389.25,"1,050.50",2.7
4/9/18,390.75,"1,046.75",2.68
4/6/18,388.5,"1,034.75",2.66
4/5/18,389.5,"1,008.50",2.59
4/4/18,381,"1,015.25",2.66
4/3/18,388.5,"1,038.75",2.67
4/2/18,387.25,"1,036.50",2.68
3/29/18,387.75,"1,044.75",2.69
3/28/18,373.5,"1,019.75",2.73
3/27/18,374,"1,019.00",2.72
3/26/18,374,"1,027.25",2.75
3/23/18,377.25,"1,027.75",2.72
3/22/18,376,"1,029.00",2.74
3/21/18,375,"1,029.75",2.75
3/20/18,374.5,"1,027.75",2.74
3/19/18,375,"1,022.75",2.73
3/16/18,382.75,"1,047.75",2.74
3/15/18,386.75,"1,041.00",2.69
3/14/18,383.5,"1,031.00",2.69
3/13/18,385.5,"1,048.50",2.72
3/12/18,384.25,"1,041.50",2.71
3/9/18,383,"1,036.75",2.71
3/8/18,385.75,"1,062.00",2.75
3/7/18,379.25,"1,063.50",2.8
3/6/18,379.75,"1,074.75",2.83
3/5/18,378.25,"1,076.75",2.85
3/2/18,377.25,"1,070.00",2.84
3/1/18,378.75,"1,067.50",2.82
2/28/18,374.5,"1,055.00",2.82
2/27/18,370.5,"1,049.00",2.83
2/26/18,368.5,"1,046.25",2.84
2/23/18,366.25,"1,037.00",2.83
