Date,Price
12/5/68,2.4375
12/6/68,2.4475
12/9/68,2.4363
12/10/68,2.4375
12/11/68,2.4463
12/12/68,2.45
12/13/68,2.4575
12/16/68,2.455
12/17/68,2.4488
12/18/68,2.4475
12/19/68,2.4488
12/20/68,2.4625
12/23/68,2.4788
12/24/68,2.46
12/26/68,2.4625
12/27/68,2.4625
12/30/68,2.4663
12/31/68,2.4663
1/2/69,2.465
1/3/69,2.4638
1/6/69,2.47
1/7/69,2.4725
1/8/69,2.4938
1/9/69,2.4913
1/10/69,2.4825
1/13/69,2.445
1/14/69,2.4425
1/15/69,2.4513
1/16/69,2.4588
1/17/69,2.455
1/20/69,2.455
1/21/69,2.455
1/22/69,2.4563
1/23/69,2.465
1/24/69,2.4625
1/27/69,2.4575
1/28/69,2.455
1/29/69,2.455
1/30/69,2.455
1/31/69,2.4575
2/3/69,2.4525
2/4/69,2.4563
2/5/69,2.4563
2/6/69,2.4575
2/7/69,2.4538
2/10/69,2.4475
2/11/69,2.4463
2/12/69,2.4475
2/13/69,2.4488
2/14/69,2.435
2/17/69,2.43
2/18/69,2.4313
2/19/69,2.4413
2/20/69,2.435
2/24/69,2.4325
2/25/69,2.43
2/26/69,2.4275
2/27/69,2.43
2/28/69,2.4388
3/3/69,2.43
3/4/69,2.435
3/5/69,2.4138
3/6/69,2.41
3/7/69,2.4063
3/10/69,2.3988
3/11/69,2.3988
3/12/69,2.3963
3/13/69,2.3913
3/14/69,2.3875
3/17/69,2.3763
3/18/69,2.375
3/19/69,2.375
3/20/69,2.3788
3/21/69,2.3775
3/24/69,2.3788
3/25/69,2.3875
3/26/69,2.385
3/27/69,2.3875
3/28/69,2.3975
4/1/69,2.3925
4/2/69,2.3825
4/3/69,2.3875
4/7/69,2.39
4/8/69,2.395
4/9/69,2.395
4/10/69,2.395
4/11/69,2.3938
4/14/69,2.3875
4/15/69,2.3925
4/16/69,2.3963
4/17/69,2.3938
4/18/69,2.3925
4/21/69,2.39
4/22/69,2.385
4/23/69,2.3888
4/24/69,2.3925
4/25/69,2.3975
4/28/69,2.4025
4/29/69,2.3988
4/30/69,2.3975
5/1/69,2.4
5/2/69,2.4063
5/5/69,2.41
5/6/69,2.4163
5/7/69,2.4113
5/8/69,2.4075
5/9/69,2.4075
5/12/69,2.4113
5/13/69,2.4125
5/14/69,2.4175
5/15/69,2.4175
5/16/69,2.4175
5/19/69,2.4175
5/20/69,2.415
5/21/69,2.415
5/22/69,2.4163
5/23/69,2.405
5/26/69,2.3938
5/27/69,2.4
5/28/69,2.3975
5/29/69,2.3875
6/2/69,2.3888
6/3/69,2.3825
6/4/69,2.38
6/5/69,2.385
6/6/69,2.3875
6/9/69,2.395
6/10/69,2.39
6/11/69,2.3975
6/12/69,2.405
6/13/69,2.405
6/16/69,2.4
6/17/69,2.4
6/18/69,2.4088
6/19/69,2.405
6/20/69,2.405
6/23/69,2.4075
6/24/69,2.4025
6/25/69,2.4075
6/26/69,2.4
6/27/69,2.3963
6/30/69,2.4025
7/1/69,2.4025
7/2/69,2.4025
7/3/69,2.41
7/7/69,2.4238
7/8/69,2.4138
7/9/69,2.4175
7/10/69,2.4125
7/11/69,2.415
7/14/69,2.4325
7/15/69,2.4375
7/16/69,2.435
7/17/69,2.4413
7/18/69,2.43
7/22/69,2.4325
7/23/69,2.4175
7/24/69,2.4038
7/25/69,2.3863
7/28/69,2.3813
7/29/69,2.385
7/30/69,2.4013
7/31/69,2.4013
8/1/69,2.3975
8/4/69,2.3975
8/5/69,2.4013
8/6/69,2.4013
8/7/69,2.405
8/8/69,2.4175
8/11/69,2.4138
8/12/69,2.415
8/13/69,2.4175
8/14/69,2.4175
8/15/69,2.4113
8/18/69,2.4013
8/19/69,2.3963
8/20/69,2.3938
8/21/69,2.4
8/22/69,2.4025
8/25/69,2.4075
8/26/69,2.4
8/27/69,2.4063
8/28/69,2.4113
8/29/69,2.415
9/2/69,2.3963
9/3/69,2.4025
9/4/69,2.405
9/5/69,2.405
9/8/69,2.4013
9/9/69,2.4
9/10/69,2.4025
9/11/69,2.4125
9/12/69,2.4275
9/15/69,2.4288
9/16/69,2.4488
9/17/69,2.435
9/18/69,2.4313
9/19/69,2.44
9/22/69,2.4325
9/23/69,2.4313
9/24/69,2.4288
9/25/69,2.435
9/26/69,2.4163
9/29/69,2.4213
9/30/69,2.4188
10/1/69,2.4138
10/2/69,2.43
10/3/69,2.4575
10/6/69,2.4575
10/7/69,2.4475
10/8/69,2.4538
10/9/69,2.4663
10/10/69,2.46
10/13/69,2.49
10/14/69,2.4863
10/15/69,2.5025
10/16/69,2.4863
10/17/69,2.4875
10/20/69,2.4875
10/21/69,2.4925
10/22/69,2.4988
10/23/69,2.51
10/24/69,2.5288
10/27/69,2.495
10/28/69,2.4788
10/29/69,2.4938
10/30/69,2.4938
10/31/69,2.4963
11/3/69,2.4938
11/4/69,2.49
11/5/69,2.485
11/6/69,2.4913
11/7/69,2.4938
11/10/69,2.5013
11/11/69,2.5113
11/12/69,2.5125
11/13/69,2.5238
11/14/69,2.51
11/17/69,2.5013
11/18/69,2.4988
11/19/69,2.4863
11/20/69,2.4888
11/21/69,2.4825
11/24/69,2.4438
11/25/69,2.4488
11/26/69,2.4488
11/28/69,2.4388
12/1/69,2.4338
12/2/69,2.435
12/3/69,2.4525
12/4/69,2.4375
12/5/69,2.4488
12/8/69,2.445
12/9/69,2.4463
12/10/69,2.4413
12/11/69,2.45
12/12/69,2.46
12/15/69,2.4688
12/16/69,2.4713
12/17/69,2.4763
12/18/69,2.4675
12/19/69,2.475
12/22/69,2.4525
12/23/69,2.4513
12/24/69,2.4765
12/29/69,2.4948
12/30/69,2.4945
12/31/69,2.5078
1/5/70,2.5125
1/6/70,2.52
1/7/70,2.5325
1/8/70,2.5375
1/9/70,2.5338
1/12/70,2.545
1/13/70,2.5413
1/14/70,2.5438
1/15/70,2.5475
1/16/70,2.5538
1/19/70,2.56
1/20/70,2.5325
1/21/70,2.5475
1/22/70,2.55
1/23/70,2.5475
1/26/70,2.5313
1/27/70,2.5375
1/28/70,2.5363
1/29/70,2.5313
1/30/70,2.5413
2/2/70,2.5525
2/3/70,2.5475
2/4/70,2.5513
2/5/70,2.5525
2/6/70,2.5538
2/9/70,2.5488
2/10/70,2.54
2/11/70,2.545
2/12/70,2.545
2/13/70,2.54
2/16/70,2.5438
2/17/70,2.5475
2/18/70,2.5675
2/19/70,2.56
2/20/70,2.5638
2/24/70,2.5928
2/25/70,2.5968
2/26/70,2.596
2/27/70,2.5998
3/2/70,2.6163
3/3/70,2.6238
3/4/70,2.595
3/5/70,2.605
3/6/70,2.6013
3/9/70,2.5863
3/10/70,2.59
3/11/70,2.605
3/12/70,2.6125
3/13/70,2.6063
3/16/70,2.595
3/17/70,2.61
3/18/70,2.605
3/19/70,2.5988
